speedup,baseline_time,verification_time
1.0151,11.2027,11.0361
1.0335,9.9016,9.5805
1.2366,11.3487,9.1774
4.2930,53.1325,12.3765
1.1552,12.1246,10.4953
1.1731,11.1878,9.5372
1.2945,15.2048,11.7452
1.1966,15.2048,12.7066
1.0976,15.2048,13.8532
1.2015,15.2048,12.6544
1.1830,15.2048,12.8527
1.1317,11.4565,10.1230
1.1181,11.4565,10.2460
1.0682,9.8002,9.1745
1.0291,13.8251,13.4347
1.0818,11.1633,10.3192
1.0179,11.1633,10.9670
27.1953,411.7344,15.1399
25.9364,411.7344,15.8748
22.4936,411.7344,18.3045
20.2266,411.7344,20.3561
1.2390,13.6971,11.0548
1.2153,14.5643,11.9839
1.1913,12.5343,10.5215
1.0945,12.5343,11.4526
1.2053,31.7885,26.3744
1.1550,31.7885,27.5218
1.0673,31.7885,29.7849
1.4387,64.7142,44.9813
2.9331,64.7142,22.0636
1.1328,11.3967,10.0606
1.1574,11.3967,9.8469
1.1162,11.3967,10.2105
1.0919,11.3967,10.4379
7.2217,156.5374,21.6760
1.3282,16.6446,12.5320
1.2651,16.6446,13.1564
1.2277,16.6446,13.5576
1.1814,12.2146,10.3388
1.1334,12.2146,10.7771
1.1485,17.4467,15.1910
1.2358,11.5131,9.3162
1.2116,11.5131,9.5025
1.1858,11.5131,9.7095
1.0513,12.1382,11.5463
1.0034,12.1382,12.0965
1.1303,10.3047,9.1169
1.0711,10.3047,9.6209
1.0325,10.3212,9.9959
1.0428,14.0784,13.5003
1.2793,12.9092,10.0907
1.2662,12.9092,10.1953
1.0151,12.4496,12.2650
1.0823,11.0543,10.2138
1.0798,11.0543,10.2370
1.0425,11.0543,10.6035
1.2542,11.0987,8.8491
1.1416,11.0987,9.7220
1.0916,11.1124,10.1795
1.0429,11.1124,10.6550
1.0299,11.1124,10.7902
1.1561,15.3503,13.2780
1.1375,15.3503,13.4949
1.0709,15.3503,14.3341
1.0603,15.3503,14.4778
1.1893,11.8220,9.9403
1.4502,14.0692,9.7018
1.0791,11.1267,10.3110
1.0657,11.1267,10.4410
1.3504,15.5259,11.4975
1.1343,15.5259,13.6874
1.0421,15.5259,14.8987
1.8781,32.2915,17.1936
1.0869,9.9650,9.1680
1.0353,10.4279,10.0727
1.0177,10.4279,10.2470
1.0582,15.0924,14.2626
1.0160,15.0924,14.8545
1.1646,17.1480,14.7240
1.1255,11.6835,10.3809
1.0037,10.3130,10.2748
1.0984,10.7689,9.8040
1.0623,10.7689,10.1377
4.5980,47.5193,10.3348
4.2742,47.5193,11.1178
4.0700,47.5193,11.6756
2.2328,47.5193,21.2825
1.0873,10.1459,9.3311
1.0787,10.1459,9.4060
1.2101,10.7214,8.8600
1.0394,9.9492,9.5722
1.0834,11.1221,10.2658
1.0600,11.1221,10.4930
1.0322,11.1221,10.7756
1.2033,10.7072,8.8983
1.2268,11.7385,9.5686
1.2126,11.7385,9.6805
1.0762,11.7385,10.9076
1.2617,11.0791,8.7812
1.0693,10.2663,9.6006
1.1424,11.1823,9.7883
1.0951,11.2564,10.2790
1.0714,11.2564,10.5065
1.0375,10.7283,10.3408
1.5530,14.3596,9.2463
1.0567,10.4868,9.9239
1.0390,11.2863,10.8626
1.0641,11.6165,10.9166
1.0409,10.6856,10.2657
1.2112,10.4092,8.5942
1.1069,10.1945,9.2101
1.0176,10.5958,10.4130
1.0014,10.5958,10.5809
1.1266,10.5958,9.4050
1.0484,10.5958,10.1063
1.0860,11.4741,10.5660
1.0343,11.4741,11.0941
1.0708,10.3595,9.6750
1.1014,10.7603,9.7695
1.1378,13.5986,11.9514
1.1080,13.5986,12.2727
1.2863,30.3031,23.5587
1.0021,30.3031,30.2383
1.5236,30.3031,19.8888
1.2523,30.3031,24.1981
1.0676,14.3849,13.4744
1.0301,10.6453,10.3339
1.0259,10.6453,10.3761
1.1706,10.7954,9.2219
