baseline_time,virtual_best_time,grade,chose
9.0859,9.0859,2,baseline
5.6943,5.6943,2,baseline
4.5279,4.5279,2,baseline
4.5279,4.5279,2,baseline
298.4273,20.9678,3,invariant
298.4273,22.9726,3,invariant
298.4273,39.9196,3,invariant
12.8172,12.8172,2,baseline
12.8172,12.8172,2,baseline
11.0090,11.0090,2,baseline
11.0090,11.0090,2,baseline
11.0090,11.0090,2,baseline
11.0090,11.0090,1,baseline
5.1374,5.1374,2,baseline
4.2567,4.2567,2,baseline
4.4486,4.4486,2,baseline
4.4486,4.4486,2,baseline
4.4486,4.4486,2,baseline
5.8039,5.8039,2,baseline
5.8039,5.8039,2,baseline
5.8039,5.8039,2,baseline
4.5127,4.5127,2,baseline
4.5127,4.5127,2,baseline
4.6403,4.6403,2,baseline
9.1165,9.1165,2,baseline
9.1165,9.1165,2,baseline
13.2786,13.2786,2,baseline
13.2786,13.2786,2,baseline
13.2786,13.2786,2,baseline
13.2786,13.2786,1,baseline
4.5235,4.5235,2,baseline
5.8427,5.8427,2,baseline
5.8427,5.8427,2,baseline
4.8908,4.8908,2,baseline
4.8908,4.8908,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
13.2841,13.2841,2,baseline
24.8872,24.8872,2,baseline
24.8872,24.8872,1,baseline
24.8872,24.8872,1,baseline
24.8872,24.8872,1,baseline
24.8872,24.8872,2,baseline
24.8872,24.8872,2,baseline
24.8872,24.8872,2,baseline
4.7426,4.7426,2,baseline
4.9564,4.9564,2,baseline
4.9564,4.9564,2,baseline
6.0697,6.0697,2,baseline
6.0697,6.0697,2,baseline
6.0697,6.0697,2,baseline
4.2257,4.2257,2,baseline
6.5572,6.5572,2,baseline
6.5572,6.5572,2,baseline
6.5572,6.5572,2,baseline
6.5572,6.5572,2,baseline
4.6246,4.6246,2,baseline
4.6246,4.6246,2,baseline
5.0003,5.0003,2,baseline
4.6949,4.6949,2,baseline
5.5423,5.5423,2,baseline
5.5423,5.5423,2,baseline
5.5423,5.5423,2,baseline
5.5423,5.5423,2,baseline
4.8205,4.8205,2,baseline
4.8205,4.8205,2,baseline
4.7027,4.7027,2,baseline
4.7027,4.7027,2,baseline
4.7027,4.7027,2,baseline
6.1392,6.1392,2,baseline
5.8648,5.8648,2,baseline
7.7013,7.7013,2,baseline
7.7013,7.7013,2,baseline
4.4100,4.4100,2,baseline
5.3487,5.3487,2,baseline
47.1522,31.8966,3,invariant
47.1522,47.1522,2,baseline
47.1522,47.1522,2,baseline
47.1522,47.1522,2,baseline
47.1522,47.1522,2,baseline
5.1135,5.1135,2,baseline
5.1135,5.1135,2,baseline
5.1135,5.1135,2,baseline
5.3759,5.3759,2,baseline
5.3759,5.3759,2,baseline
10.0000,10.0000,2,baseline
10.0000,10.0000,2,baseline
19.4342,19.4342,2,baseline
5.7181,5.7181,2,baseline
6.1330,6.1330,2,baseline
5.0022,5.0022,2,baseline
5.2214,5.2214,2,baseline
5.2214,5.2214,2,baseline
314.1961,314.1961,2,baseline
314.1961,314.1961,2,baseline
314.1961,314.1961,1,baseline
314.1961,314.1961,1,baseline
6.0024,6.0024,2,baseline
6.0024,6.0024,2,baseline
6.0024,6.0024,2,baseline
8.4876,8.4876,2,baseline
8.4876,8.4876,2,baseline
8.4876,8.4876,2,baseline
8.4876,8.4876,2,baseline
57.0857,29.2683,3,invariant
57.0857,31.6774,3,invariant
57.0857,34.9472,3,invariant
4.8087,4.8087,2,baseline
76.2914,25.9366,3,invariant
76.2914,26.3214,3,invariant
76.2914,31.4467,3,invariant
76.2914,64.6381,3,invariant
76.2914,28.9898,3,invariant
76.2914,76.2914,2,baseline
4.7705,4.7705,2,baseline
4.7705,4.7705,2,baseline
22.2008,22.2008,2,baseline
22.2008,22.2008,2,baseline
44.5428,44.5428,2,baseline
44.5428,44.5428,2,baseline
44.5428,44.5428,2,baseline
29.9621,29.9621,2,baseline
29.9621,29.9621,2,baseline
5.0849,5.0849,2,baseline
4.9330,4.9330,2,baseline
4.9330,4.9330,2,baseline
4.9330,4.9330,2,baseline
5.0500,5.0500,2,baseline
5.0500,5.0500,2,baseline
5.7402,5.7402,2,baseline
5.7402,5.7402,2,baseline
4.7918,4.7918,2,baseline
4.7918,4.7918,2,baseline
5.6707,5.6707,2,baseline
5.6707,5.6707,2,baseline
5.6707,5.6707,2,baseline
5.1199,5.1199,2,baseline
5.1199,5.1199,2,baseline
5.7724,5.7724,2,baseline
5.7724,5.7724,2,baseline
5.2748,5.2748,2,baseline
5.2748,5.2748,2,baseline
5.2748,5.2748,2,baseline
7.5692,7.5692,2,baseline
7.5692,7.5692,2,baseline
7.5692,7.5692,2,baseline
5.5744,5.5744,2,baseline
5.5744,5.5744,2,baseline
6.4846,6.4846,2,baseline
6.4846,6.4846,2,baseline
6.4846,6.4846,2,baseline
6.4846,6.4846,2,baseline
4.7728,4.7728,2,baseline
6.4251,6.4251,2,baseline
6.4251,6.4251,2,baseline
6.4251,6.4251,2,baseline
6.4251,6.4251,2,baseline
6.4251,6.4251,2,baseline
24.1194,24.1194,2,baseline
24.1194,24.1194,2,baseline
6.6538,6.6538,2,baseline
6.6538,6.6538,2,baseline
6.6538,6.6538,2,baseline
6.6538,6.6538,2,baseline
20.8827,20.8827,2,baseline
20.8827,20.8827,2,baseline
20.8827,20.8827,2,baseline
4.7557,4.7557,2,baseline
4.7557,4.7557,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
8.1167,8.1167,2,baseline
4.8202,4.8202,2,baseline
4.8202,4.8202,2,baseline
4.8202,4.8202,2,baseline
8.8608,8.8608,2,baseline
8.8608,8.8608,2,baseline
8.8608,8.8608,2,baseline
15.9261,15.9261,2,baseline
15.9261,15.9261,2,baseline
15.9261,15.9261,2,baseline
15.9261,15.9261,2,baseline
4.3873,4.3873,2,baseline
4.3873,4.3873,2,baseline
8.7580,8.7580,2,baseline
8.7580,8.7580,2,baseline
8.7580,8.7580,2,baseline
8.7580,8.7580,2,baseline
5.4842,5.4842,2,baseline
5.4842,5.4842,2,baseline
4.2337,4.2337,2,baseline
5.3122,5.3122,2,baseline
5.3122,5.3122,2,baseline
5.3122,5.3122,2,baseline
5.3122,5.3122,2,baseline
5.8685,5.8685,2,baseline
5.8685,5.8685,2,baseline
4.9217,4.9217,2,baseline
4.9217,4.9217,2,baseline
4.6875,4.6875,2,baseline
4.6875,4.6875,2,baseline
4.6650,4.6650,2,baseline
5.8973,5.8973,2,baseline
5.0978,5.0978,2,baseline
5.0978,5.0978,2,baseline
5.0978,5.0978,2,baseline
6.7378,6.7378,2,baseline
6.7378,6.7378,2,baseline
6.7378,6.7378,2,baseline
6.7378,6.7378,2,baseline
6.7378,6.7378,2,baseline
6.4390,6.4390,2,baseline
6.4390,6.4390,2,baseline
4.2725,4.2725,2,baseline
4.2725,4.2725,2,baseline
5.1774,5.1774,2,baseline
94.0168,94.0168,2,baseline
5.5726,5.5726,2,baseline
5.5726,5.5726,2,baseline
5.4562,5.4562,2,baseline
5.4562,5.4562,2,baseline
5.4562,5.4562,2,baseline
5.4562,5.4562,2,baseline
7.8593,7.8593,2,baseline
7.8593,7.8593,2,baseline
7.8593,7.8593,2,baseline
7.8593,7.8593,2,baseline
7.8593,7.8593,2,baseline
6.9452,6.9452,2,baseline
6.9452,6.9452,2,baseline
6.9452,6.9452,2,baseline
6.9452,6.9452,2,baseline
6.9452,6.9452,2,baseline
4.1522,4.1522,2,baseline
8.0032,8.0032,2,baseline
4.4423,4.4423,2,baseline
4.4423,4.4423,2,baseline
4.4423,4.4423,2,baseline
4.7467,4.7467,2,baseline
4.7467,4.7467,2,baseline
5.4551,5.4551,2,baseline
5.4551,5.4551,2,baseline
5.7666,5.7666,2,baseline
6.2122,6.2122,2,baseline
6.2122,6.2122,2,baseline
4.9298,4.9298,2,baseline
4.9298,4.9298,2,baseline
4.9298,4.9298,2,baseline
6.3886,6.3886,2,baseline
6.3886,6.3886,2,baseline
5.7485,5.7485,2,baseline
5.7485,5.7485,2,baseline
5.7485,5.7485,2,baseline
4.7740,4.7740,2,baseline
4.7740,4.7740,2,baseline
4.7740,4.7740,2,baseline
5.3761,5.3761,2,baseline
5.1600,5.1600,2,baseline
5.1600,5.1600,2,baseline
5.1600,5.1600,2,baseline
5.1600,5.1600,2,baseline
5.1600,5.1600,2,baseline
5.1600,5.1600,2,baseline
9.1293,9.1293,2,baseline
9.1293,9.1293,2,baseline
9.1293,9.1293,2,baseline
4.6607,4.6607,2,baseline
4.7527,4.7527,2,baseline
4.7527,4.7527,2,baseline
4.7527,4.7527,2,baseline
4.3477,4.3477,2,baseline
4.1033,4.1033,2,baseline
4.5612,4.5612,2,baseline
20.8020,20.8020,2,baseline
5.3420,5.3420,2,baseline
5.3420,5.3420,2,baseline
5.3420,5.3420,2,baseline
4.4479,4.4479,2,baseline
6.0716,6.0716,2,baseline
6.0716,6.0716,2,baseline
4.9770,4.9770,2,baseline
53.2346,53.2346,2,baseline
53.2346,53.2346,2,baseline
53.2346,53.2346,2,baseline
5.4947,5.4947,2,baseline
5.4947,5.4947,2,baseline
5.4947,5.4947,2,baseline
5.4947,5.4947,2,baseline
5.4947,5.4947,2,baseline
