display_name,timeout_solved,total,rate,vbs_scores,vbs_e2e_scores,speedup_vals,speedup_vals_e2e,vbp,vbp_e2e,avg_speedup,avg_speedup_e2e,avg_speedup_all,avg_speedup_all_e2e
eval-qwen3-8b-nt-gen-inv-sft-v2.2-latest-nt-run0,2,20,0.1,"[38.23, 7.09]","[39.0329932200443, 7.922705125911161]","[15.723515563693436, 84.78279266572638]","[15.40004878978425, 75.87181277693566]",542.266,542.3477849172978,50.25315411470991,45.63593078335995,5.925315411470991,5.463593078335995
eval-qwen3-0.6b-nt-gen-inv-sft-v2.2-latest-nt-run1,2,20,0.1,"[61.89, 476.09]","[62.32317413108889, 476.60060894201507]","[9.71255453223461, 1.2625974080530993]","[9.64504790361995, 1.261244716691357]",566.899,566.9461891536552,5.487575970143855,5.453146310155653,1.4487575970143856,1.4453146310155653
eval-qwen3-0.6b-nt-gen-inv-sft-v2.3-latest-nt-run2,2,20,0.1,"[7.88, 365.48]","[8.275485386019572, 365.9926082110219]","[76.28299492385787, 1.644713801028784]","[72.63743115485437, 1.6424102195348587]",558.668,558.7134046798521,38.96385436244333,37.13992068719461,4.796385436244333,4.613992068719461
eval-qwen3-0.6b-nt-gen-inv-sft-v2.2-latest-nt-run0,2,20,0.1,"[6.58, 456.54]","[6.995543699986301, 457.05911387802104]","[91.35410334346504, 1.3166644762780917]","[85.92755985516567, 1.3151690487030152]",563.156,563.2027328789003,46.33538390987157,43.62136445193434,5.5335383909871565,5.262136445193434
eval-qwen3-4b-nt-gen-inv-sft-v2.2-latest-nt-run2,2,20,0.1,"[49.02, 6.18]","[49.80013097494841, 6.779570830003358]","[12.262545899632803, 97.26699029126215]","[12.070450182196991, 88.66490447149768]",542.76,542.8289850902477,54.76476809544747,50.367677326847335,6.376476809544747,5.936767732684734
eval-gpt-oss-20b-run2,2,20,0.1,"[23.13, 10.27]","[36.9106918490678, 15.536045724973082]","[25.988326848249027, 58.53067185978579]","[16.285525138840804, 38.69131248975141]",541.6700000000001,542.6223368787021,42.25949935401741,27.488418814296107,5.12594993540174,3.648841881429611
eval-qwen3-0.6b-gen-inv-sft-v0-latest-nt-run0,2,20,0.1,"[6.44, 7.42]","[7.408445630045608, 8.428898316067643]","[93.34006211180125, 81.0121293800539]","[81.13847762641939, 71.31536975053194]",540.693,540.7918671973057,87.17609574592757,76.22692368847567,9.617609574592757,8.522692368847567
eval-Qwen3-8B-t-run0,2,20,0.1,"[91.27, 47.98]","[203.3835887870332, 121.65291117098647]","[6.586063328585516, 12.528345143809922]","[2.955548201233845, 4.9411887821995775]",546.9625,556.2518249979009,9.55720423619772,3.9483684917167112,1.855720423619772,1.294836849171671
eval-qwen3-1.7b-nt-gen-inv-sft-v2.2-latest-nt-run0,2,20,0.1,"[55.07, 6.16]","[55.55488698794972, 6.546732588056475]","[10.915380424913746, 97.58279220779221]","[10.820110211553223, 91.81832187504259]",543.0615,543.1050809788003,54.24908631635298,51.31921604329791,6.324908631635298,6.03192160432979
eval-qwen3-0.6b-gen-inv-sft-v1-latest-nt-run1,2,20,0.1,"[53.45, 7.38]","[53.964191780006516, 7.8877438809676095]","[11.246211412535079, 81.45121951219512]","[11.139053141952337, 76.20810323854738]",543.0415,543.0925967830487,46.3487154623651,43.673578190249856,5.53487154623651,5.267357819024985
eval-gpt-oss-20b-run1,2,20,0.1,"[64.7, 521.53]","[71.92016311017797, 526.8430862091202]","[9.290726429675425, 1.152589496289763]","[8.358017751977712, 1.1409659075632266]",569.3115,569.9381624659649,5.221657962982594,4.749491829770469,1.4221657962982595,1.374949182977047
eval-Qwen3-0.6B-t-run1,1,20,0.05,[47.09],[74.60824759296142],[12.765130600976851],[8.056884049595464],572.3545,573.7304123796481,12.765130600976851,8.056884049595464,1.5882565300488427,1.352844202479773
eval-Qwen3-0.6B-nt-run2,1,20,0.05,[39.15],[39.5775812539272],[15.354022988505749],[15.188143917722439],571.9575,571.9788790626964,15.354022988505749,15.188143917722439,1.7177011494252874,1.709407195886122
eval-qwen3-8b-nt-gen-inv-sft-v2.3-latest-nt-run0,1,20,0.05,[327.72],[328.5479672809877],[1.8342182350787257],[1.829595857721153],586.3860000000001,586.4273983640494,1.8342182350787257,1.829595857721153,1.0417109117539363,1.0414797928860575
eval-qwen3-0.6b-nt-gen-inv-sft-v2.3-latest-nt-run1,1,20,0.05,[6.19],[6.584541586050764],[97.10985460420032],[91.29109325901153],570.3095000000001,570.3292270793025,97.10985460420032,91.29109325901153,5.805492730210016,5.514554662950577
eval-qwen3-0.6b-nt-gen-inv-sft-v2.2-latest-nt-run2,1,20,0.05,[6.67],[7.065141880959272],[90.12143928035982],[85.0810939296217],570.3335,570.353257094048,90.12143928035982,85.0810939296217,5.456071964017991,5.204054696481085
eval-qwen3-0.6b-nt-gen-inv-sft-v2.3-latest-nt-run0,1,20,0.05,[6.92],[7.323394071967341],[86.86560693641619],[82.08079397242092],570.346,570.3661697035984,86.86560693641619,82.08079397242092,5.29328034682081,5.054039698621046
eval-Qwen3-4B-Instruct-2507-nt-run2,1,20,0.05,[386.9],[387.7378580700082],[1.5536572757818559],[1.5502999964771722],589.345,589.3868929035004,1.5536572757818559,1.5502999964771722,1.0276828637890927,1.0275149998238586
eval-Qwen3-4B-Instruct-2507-nt-run0,1,20,0.05,[399.63],[400.47982499000034],[1.5041663538773367],[1.5009744873290665],589.9815000000001,590.0239912495001,1.5041663538773367,1.5009744873290665,1.0252083176938669,1.0250487243664534
eval-Qwen3-14B-nt-run2,1,20,0.05,[6.56],[7.701298288945108],[91.63262195121952],[78.05307331919195],570.328,570.3850649144472,91.63262195121952,78.05307331919195,5.531631097560976,4.852653665959598
eval-gpt-oss-120b-run2,1,20,0.05,[423.11],[426.1857866408676],[1.420694382075583],[1.410441217990536],591.1555000000001,591.3092893320434,1.420694382075583,1.410441217990536,1.021034719103779,1.020522060899527
eval-qwen3-8b-nt-gen-inv-sft-v2.3-latest-nt-run2,1,20,0.05,[53.52],[54.25871657799464],[11.231502242152466],[11.078588619690802],572.676,572.7129358288997,11.231502242152466,11.078588619690802,1.5115751121076233,1.5039294309845401
eval-qwen3-8b-nt-gen-inv-sft-v2.2-latest-nt-run1,1,20,0.05,[49.78],[50.55351018995978],[12.075331458417034],[11.890568978123778],572.4889999999999,572.527675509498,12.075331458417034,11.890568978123778,1.5537665729208516,1.5445284489061888
eval-Qwen3-8B-nt-run0,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
eval-Qwen3-0.6B-nt-run1,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
eval-Qwen3-8B-nt-run1,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
eval-Qwen3-4B-Instruct-2507-nt-run1,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
eval-qwen3-0.6b-gen-inv-sft-v0-latest-nt-run1,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
eval-qwen3-8b-gen-inv-sft-v0-latest-nt-run2,0,20,0.0,[],[],[],[],600.0,600.0,0.0,0.0,1.0,1.0
